ID,label,form_date,B_amp1,B_amp2,B_delAmp,B_trend1,B_trend2,B_delTrend,B_breakDate,B_rlmIntercept,B_rlmTrend,G_amp1,G_amp2,G_delAmp,G_trend1,G_trend2,G_delTrend,G_breakDate,G_rlmIntercept,G_rlmTrend,R_amp1,R_amp2,R_delAmp,R_trend1,R_trend2,R_delTrend,R_breakDate,R_rlmIntercept,R_rlmTrend,NIR_amp1,NIR_amp2,NIR_delAmp,NIR_trend1,NIR_trend2,NIR_delTrend,NIR_breakDate,NIR_rlmIntercept,NIR_rlmTrend,SWIR1_amp1,SWIR1_amp2,SWIR1_delAmp,SWIR1_trend1,SWIR1_trend2,SWIR1_delTrend,SWIR1_breakDate,SWIR1_rlmIntercept,SWIR1_rlmTrend,SWIR2_amp1,SWIR2_amp2,SWIR2_delAmp,SWIR2_trend1,SWIR2_trend2,SWIR2_delTrend,SWIR2_breakDate,SWIR2_rlmIntercept,SWIR2_rlmTrend,NDVI_amp1,NDVI_amp2,NDVI_delAmp,NDVI_trend1,NDVI_trend2,NDVI_delTrend,NDVI_breakDate,NDVI_rlmIntercept,NDVI_rlmTrend,NDMI_amp1,NDMI_amp2,NDMI_delAmp,NDMI_trend1,NDMI_trend2,NDMI_delTrend,NDMI_breakDate,NDMI_rlmIntercept,NDMI_rlmTrend,NBR_amp1,NBR_amp2,NBR_delAmp,NBR_trend1,NBR_trend2,NBR_delTrend,NBR_breakDate,NBR_rlmIntercept,NBR_rlmTrend,NBR2_amp1,NBR2_amp2,NBR2_delAmp,NBR2_trend1,NBR2_trend2,NBR2_delTrend,NBR2_breakDate,NBR2_rlmIntercept,NBR2_rlmTrend,TCB_amp1,TCB_amp2,TCB_delAmp,TCB_trend1,TCB_trend2,TCB_delTrend,TCB_breakDate,TCB_rlmIntercept,TCB_rlmTrend,TCG_amp1,TCG_amp2,TCG_delAmp,TCG_trend1,TCG_trend2,TCG_delTrend,TCG_breakDate,TCG_rlmIntercept,TCG_rlmTrend,TCW_amp1,TCW_amp2,TCW_delAmp,TCW_trend1,TCW_trend2,TCW_delTrend,TCW_breakDate,TCW_rlmIntercept,TCW_rlmTrend,TCA_amp1,TCA_amp2,TCA_delAmp,TCA_trend1,TCA_trend2,TCA_delTrend,TCA_breakDate,TCA_rlmIntercept,TCA_rlmTrend,TCD_amp1,TCD_amp2,TCD_delAmp,TCD_trend1,TCD_trend2,TCD_delTrend,TCD_breakDate,TCD_rlmIntercept,TCD_rlmTrend
uuid:01e98fdc-3392-4f5b-a569-5a4345070754,DEF,2014-10-29,0.005656500531025,0.012975788922794,0.007319288391769,-6.5126158e-08,-8.9580573057e-05,-8.9515446899e-05,-1.81643835616433,0.028764621550016,0.000308742053874,0.003469865869831,0.002631241463791,-0.00083862440604,8.6724395e-07,-2.0801604715e-05,-2.1668848666e-05,-1.81643835616433,0.044489431798882,0.000969271795889,0.008441522171383,0.008441522171383,0,3.491204703e-06,3.491204703e-06,0,NA,0.030574101716168,0.001121456385935,0.051405756577152,0.051405756577152,0,-2.071820583e-06,-2.071820583e-06,0,NA,0.386063076972387,-0.000614415966728,0.011670786017495,0.017135453811738,0.005464667794243,2.509882025e-06,9.396629229e-06,6.886747204e-06,-3.01917808219173,0.150997739533031,0.003406468672484,0.005425130322427,0.007761647650135,0.002336517327708,8.82246862e-07,-2.6034849429e-05,-2.6917096292e-05,-3.01917808219173,0.059767751346584,0.003027564474692,0.046191102032595,0.083061172367296,0.036870070334702,-1.524207457e-06,6.9606131591e-05,7.1130339048e-05,-3.01917808219173,0.84832640927295,-0.004744929007515,0.041766511022597,0.059085285281785,0.017318774259188,6.99842977e-07,0.000196415007183,0.000195715164206,-3.01917808219173,0.431338325029436,-0.008537607665536,0.032418158531321,0.055662602987063,0.023244444455742,1.595084909e-06,0.000257615414134,0.000256020329225,-3.01917808219173,0.724573147877532,-0.010588939859287,0.017368175683139,0.038216658867043,0.020848483183904,2.73646311e-06,7.6442994869e-05,7.3706531759e-05,-3.52328767123277,0.419247461102714,-0.006706539227394,0.024844381519953,0.024844381519953,0,5.769205365e-06,5.769205365e-06,0,NA,0.322023398576996,0.00205737625575,0.048902655069409,0.048902655069409,0,-5.277019656e-06,-5.277019656e-06,0,NA,0.266641819891246,-0.00162249854468,0.008933286551796,0.012682314758861,0.003749028207065,-5.10832555e-07,3.909739287e-05,3.9608225425e-05,-3.01917808219173,-0.059209390781852,-0.003865130546883,0.043067466647245,0.072740513246293,0.029673046599048,5.98501176e-07,0.000112508550394,0.000111910049218,-3.01917808219173,0.687084407742223,-0.005834909815503,0.04466653641952,0.04466653641952,0,2.052193303e-06,2.052193303e-06,0,NA,0.417908884059303,0.000780566481681
uuid:01f61831-b44e-4a55-a42a-a762d19522ec,DEG,2014-10-30,0.006020459366696,0.006020459366696,0,-1.525235187e-06,-1.525235187e-06,0,NA,0.03698201421525,-0.000395726832621,0.003175072669841,0.003175072669841,0,-3.20800598e-07,-3.20800598e-07,0,NA,0.05052833555875,-5.2796148303e-05,0.007863863700232,0.007863863700232,0,3.98468773e-07,3.98468773e-07,0,NA,0.034062133165062,0.00026338818807,0.053926693449412,0.090494790491252,0.036568097041839,2.026669234e-06,2.4016028553e-05,2.1989359319e-05,-1.95068493150689,0.380552111080617,-0.002088613690811,0.009360473491875,0.01728151344987,0.007921039957995,-8.75969132e-07,7.068653573e-06,7.944622704e-06,-1.77534246575328,0.14714890919474,0.001174186479409,0.00489600567507,0.021519231763161,0.016623226088091,-6.17876946e-07,-5.750217239e-06,-5.132340293e-06,-1.77534246575328,0.060267252843943,0.000974831367511,0.065676300835463,0.065676300835463,0,-2.292934317e-06,-2.292934317e-06,0,NA,0.829885840712425,-0.001651514612631,0.046262820327109,0.133202150015907,0.086939329688798,6.659509176e-06,2.162620818e-05,1.4966699004e-05,-1.95068493150689,0.431748796762617,-0.004063853160102,0.047835602035987,0.155580105791485,0.107744503755498,4.116985555e-06,9.7635375628e-05,9.3518390073e-05,-1.77534246575328,0.720928660142192,-0.004171778782807,0.027630705904245,0.066763227573724,0.039132521669479,-3.54205084e-07,4.3115649752e-05,4.3469854836e-05,-1.77534246575328,0.426207638645135,-0.003655413237371,0.033872581109906,0.033872581109906,0,-1.150451979e-06,-1.150451979e-06,0,NA,0.330009530021743,-0.001370591549018,0.057813818271794,0.057813818271794,0,-1.726180946e-06,-1.726180946e-06,0,NA,0.251722536328402,-0.001242482223333,0.005937466998017,0.032627747011201,0.026690280013184,1.769206506e-06,-1.452304817e-05,-1.6292254676e-05,-1.95068493150689,-0.054798167638647,-0.001537597369651,0.065725961056967,0.065725961056967,0,-1.841423674e-06,-1.841423674e-06,0,NA,0.656044134703007,-0.001399625112039,0.060071377897459,0.060071377897459,0,-2.44480097e-06,-2.44480097e-06,0,NA,0.417221277023061,-0.001989650310175
uuid:02681345-4090-41c9-b824-60dffb3571cc,DEF,2014-10-30,0.006058922913893,0.006058922913893,0,1.540278093e-06,1.540278093e-06,0,NA,0.027811011309283,0.000604823013535,0.004925505067644,0.004925505067644,0,1.964205719e-06,1.964205719e-06,0,NA,0.042739591194752,0.000668052790948,0.004970158347043,0.019735346406838,0.014765188059795,1.846811606e-06,6.567242154e-06,4.720430549e-06,-1.77534246575351,0.02420267734804,0.001269193947601,0.050125312250446,0.050125312250446,0,-7.223775251e-06,-7.223775251e-06,0,NA,0.360823678342476,-0.003558707811307,0.008675526152903,0.021334499331444,0.012658973178541,-3.87864454e-07,4.9398929651e-05,4.9786794105e-05,-2.47671232876723,0.145928595162228,0.002204905588261,0.003611443089069,0.019510015870392,0.015898572781323,-4.13642552e-07,5.23922933e-05,5.2805935852e-05,-3.9205479452055,0.054854109716355,0.00230585265352,0.036506870511535,0.155057678276837,0.118550807765303,-1.1927290528e-05,-6.4802039054e-05,-5.2874748526e-05,-1.77534246575351,0.871761765756412,-0.007424939565761,0.02824980483773,0.135900572034166,0.107650767196435,-8.19987626e-07,-0.000150791767328,-0.000149971779702,-3.0876712328768,0.406815443144151,-0.007503499845693,0.021458696404889,0.158724981081195,0.137266284676306,-1.163998943e-06,-0.000221724022772,-0.000220560023828,-3.0876712328768,0.722564748607411,-0.009687876668376,0.016076762899775,0.059103629923992,0.043026867024218,7.01736737e-07,-9.7659644164e-05,-9.8361380901e-05,-3.81095890410961,0.444388882258046,-0.007637799712581,0.02857214235198,0.02857214235198,0,2.831797333e-06,2.831797333e-06,0,NA,0.301125738802173,0.000526976244021,0.04238138176671,0.04238138176671,0,-8.637860588e-06,-8.637860588e-06,0,NA,0.248536566133189,-0.003865326878318,0.002170695775177,0.02500184303349,0.022831147258313,1.925100545e-06,-5.5521974747e-05,-5.7447075292e-05,-3.37260273972606,-0.05926309276401,-0.002687486494552,0.037506668852716,0.100189129512582,0.062682460659866,-1.92916038e-06,-5.5227217157e-05,-5.3298056778e-05,-3.8767123287671,0.679928404894685,-0.00710679387788,0.046688118521351,0.046688118521351,0,-2.275556836e-06,-2.275556836e-06,0,NA,0.389584195262419,-0.001716840503589
uuid:02a40c0c-d8ac-4c1d-8a8a-37a0362371a0,DEG,2012-01-03,0.007099480791714,0.007099480791714,0,-1.3611666e-08,-1.3611666e-08,0,NA,0.030773990869761,-4.9171891084e-05,0.00547003974124,0.00547003974124,0,9.90479779e-07,9.90479779e-07,0,NA,0.040917295424283,0.000293739472571,0.006526445089277,0.006526445089277,0,1.077139087e-06,1.077139087e-06,0,NA,0.028765100712223,0.000353755293904,0.042854787936643,0.042854787936643,0,5.108457802e-06,5.108457802e-06,0,NA,0.279022314305451,0.00132949313485,0.00265188788021,0.007978723350628,0.005326835470418,-1.243539083e-06,-2.120480172e-06,-8.76941089e-07,-2.56712328767117,0.117319689477462,0.001278540887504,0.0028621220138,0.0028621220138,0,1.875265064e-06,1.875265064e-06,0,NA,0.050585294344843,0.000669957257826,0.059924724698557,0.059924724698557,0,-2.465666686e-06,-2.465666686e-06,0,NA,0.81745853408314,-0.002256521025022,0.037937271006333,0.037937271006333,0,-1.336822844e-06,-1.336822844e-06,0,NA,0.401256531451279,-0.001105531637045,0.038245141953507,0.038245141953507,0,-1.366818429e-06,-1.366818429e-06,0,NA,0.687159627794858,-0.001272798186678,0.029568830914106,0.029568830914106,0,3.5291204e-07,3.5291204e-07,0,NA,0.390714669456773,-0.000366519939341,0.019919221549299,0.019919221549299,0,4.719203976e-06,4.719203976e-06,0,NA,0.249170980303888,0.001321236392699,0.038974538931845,0.038974538931845,0,4.05740134e-06,4.05740134e-06,0,NA,0.183122444784516,0.000707198493538,0.001608168345382,0.005182257604616,0.003574089259234,1.03437768e-07,-1.1063453744e-05,-1.1166891512e-05,-5.12876712328762,-0.049852451459189,-0.000654911778111,0.060789113894493,0.060789113894493,0,3.6558208e-07,3.6558208e-07,0,NA,0.631451974731915,-0.000822009479894,0.030779924368088,0.070548274409278,0.03976835004119,-1.272404281e-06,-6.1947122218e-05,-6.0674717937e-05,-2.56712328767117,0.310385610783195,0.001542228299764
uuid:02d2a784-e055-4228-bc1a-f0d39222d975,DEG,2014-10-31,0.004850734869104,0.004850734869104,0,-1.284073044e-06,-1.284073044e-06,0,NA,0.029854060613087,-0.000441579981769,0.003225335792759,0.003225335792759,0,-1.040780122e-06,-1.040780122e-06,0,NA,0.041511740107058,-0.000437966331828,0.004842383851906,0.004842383851906,0,-7.48966293e-07,-7.48966293e-07,0,NA,0.02915399198622,-0.000279943277167,0.027692202672755,0.027692202672755,0,3.706414119e-06,3.706414119e-06,0,NA,0.247798668907314,0.001336794837864,0.004719451989034,0.006782648328325,0.002063196339291,-1.972748828e-06,-1.3164072998e-05,-1.119132417e-05,-4.79999999999996,0.094836486854414,0.001669707366314,0.003853889424315,0.000743843251591,-0.003110046172724,-3.057144e-09,-6.131689e-06,-6.128631856e-06,-4.79999999999996,0.039313475312666,0.001139918584441,0.05074895859576,0.05074895859576,0,5.810796234e-06,5.810796234e-06,0,NA,0.795401876970844,0.001261815197839,0.035522857425779,0.026862809863802,-0.008660047561977,1.278516756e-06,4.7638980617e-05,4.6360463861e-05,-4.01095890410943,0.452123912394361,-0.004337864119359,0.034428872671285,0.034428872671285,0,-1.1884304498e-05,-1.1884304498e-05,0,NA,0.729818365185103,-0.005170267606276,0.02354983489273,0.02354983489273,0,-8.113515098e-06,-8.113515098e-06,0,NA,0.407934773793579,-0.003413229794343,0.006274112813185,0.028267354044982,0.021993241231797,-4.693793702e-06,-2.4144435943e-05,-1.945064224e-05,-4.79999999999996,0.22138116589684,0.001036489014685,0.027653213553334,0.027653213553334,0,3.553660452e-06,3.553660452e-06,0,NA,0.160042808560913,0.001151949862683,0.004703296415866,0.000416229842387,-0.004287066573479,1.506314421e-06,7.06542699e-06,5.559112569e-06,-4.79999999999996,-0.030292586490041,-0.001816656967583,0.05153498010494,0.05153498010494,0,4.524597591e-06,4.524597591e-06,0,NA,0.626771506795206,0.000988655813006,0.024597011114169,0.024597011114169,0,4.221040553e-06,4.221040553e-06,0,NA,0.272558659198695,0.001673455686234
uuid:032e2370-3801-48d5-9e78-d3f843f02304,DEF,2014-11-17,0.004155572837072,0.004155572837072,0,8.7309237e-08,8.7309237e-08,0,NA,0.032517001851124,6.5806253272e-05,0.001778976557308,0.001778976557308,0,1.273277254e-06,1.273277254e-06,0,NA,0.053119107274789,0.000478765866233,0.005410188051461,0.005410188051461,0,2.174126103e-06,2.174126103e-06,0,NA,0.031539767782663,0.000839318690788,0.063311977307472,0.124367278561875,0.061055301254403,2.251704215e-05,7.013618479e-06,-1.5503423671e-05,-4.05753424657519,0.438879132896963,-0.004357312907639,0.011286335233154,0.011286335233154,0,5.403286545e-06,5.403286545e-06,0,NA,0.166680312386339,0.001960868872607,0.004071291022523,0.235302836593486,0.231231545570963,3.5329086e-06,0.00296516620521,0.002961633296611,-0.969863013698387,0.067400394294925,0.001904630369538,0.036081521586383,0.568115971893812,0.532034450307429,-6.072460064e-06,-0.00484329082803,-0.004837218367966,-0.969863013698387,0.86130964115733,-0.004849117904166,0.041539298566545,0.72482106028919,0.683281761722645,-1.0155750389e-05,-0.007288474604396,-0.007278318854006,-0.969863013698387,0.438699991228136,-0.00737350903154,0.035467383901107,0.821992468545139,0.786525084644032,-9.42412797e-06,-0.008417749138191,-0.008408325010221,-0.969863013698387,0.720168643761392,-0.007563124721675,0.015178010485681,0.313803508267486,0.298625497781804,-7.619765307e-06,-0.003104073682414,-0.003096453917107,-0.969863013698387,0.418935774625803,-0.005340869958688,0.048040895885252,0.048040895885252,0,3.30477878e-07,3.30477878e-07,0,NA,0.365553779424781,-0.000763299754873,0.049003887409313,0.102603395346205,0.053599507936892,1.4156128589e-05,-4.96655832e-07,-1.4652784421e-05,-4.0356164383561,0.302505768379266,-0.004181871284267,0.003080833095264,0.259594899130214,0.25651406603495,-4.434320876e-06,-0.003084908227573,-0.003080473906697,-0.969863013698387,-0.065241564473689,-0.002635038271288,0.03972138997291,0.578186333626711,0.538464943653801,-4.758964507e-06,-0.005168063195897,-0.00516330423139,-0.969863013698387,0.678409834798027,-0.004452355089741,0.0766786238089,0.0766786238089,0,-3.272097227e-06,-3.272097227e-06,0,NA,0.473777241706716,-0.002966065562992
uuid:037b8e29-8ff7-4724-af38-6afdf836e2a6,DEF,2014-10-31,0.00422263513695,0.00422263513695,0,1.565659036e-06,1.565659036e-06,0,NA,0.032639447453755,0.000564938961227,0.003202817830479,0.003202817830479,0,4.922668609e-06,4.922668609e-06,0,NA,0.041435188624702,0.001765339395164,0.007742612682669,0.007742612682669,0,5.716199296e-06,5.716199296e-06,0,NA,0.028034172796778,0.002065077523606,0.089674927488823,0.089674927488823,0,7.713994611e-06,7.713994611e-06,0,NA,0.295391791900979,0.004694310709057,0.000677243805033,0.002581257624685,0.001904013819652,4.212592783e-06,3.0177322614e-05,2.596472983e-05,-8.04109589041104,0.121008381104865,0.005615300469282,0.003693229006645,0.029835749566915,0.02614252056027,6.811719757e-06,8.504970091e-06,1.693250334e-06,-1.95342465753424,0.047489065524012,0.004088195480509,0.069335042564475,0.185010367782305,0.115675325217831,-9.796509159e-06,-4.3421930756e-05,-3.3625421597e-05,-1.95342465753424,0.810409591980591,-0.005964615223385,0.091160785018554,0.203720014873231,0.112559229854677,-1.1400030171e-05,-5.8460761858e-05,-4.7060731687e-05,-1.95342465753424,0.396231833131093,-0.006953893960325,0.091158663491752,0.227910096214008,0.136751432722256,-1.2463618719e-05,1.2727502235e-05,2.5191120953e-05,-1.95342465753424,0.692896293538617,-0.009185345455682,0.044405868098649,0.087008537284852,0.042602669186204,-9.032056428e-06,3.568672732e-05,4.4718783748e-05,-1.95342465753424,0.411179316787182,-0.006963126608575,0.049932761104196,0.049932761104196,0,1.6308895404e-05,1.6308895404e-05,0,NA,0.261505176737012,0.006408090446325,0.073533844405329,0.073533844405329,0,2.94010268e-06,2.94010268e-06,0,NA,0.192262866226115,0.002644827187252,0.010666031458006,0.045553864355425,0.034887832897418,-7.446746719e-06,-1.4550844475e-05,-7.104097756e-06,-1.95342465753424,-0.045829448654692,-0.004663319750663,0.097732093989847,0.097732093989847,0,-1.616995327e-05,-1.616995327e-05,0,NA,0.628910532270783,-0.004398021982271,0.081660024826484,0.081660024826484,0,1.4091353737e-05,1.4091353737e-05,0,NA,0.32650796225151,0.006561100932056
uuid:03cccbe8-b901-49b8-8464-4f2d7e14818b,DEG,2014-10-31,0.004908536097738,0.004908536097738,0,-1.837604049e-06,-1.837604049e-06,0,NA,0.03152778400079,-0.000605107661172,0.003479990746661,0.003479990746661,0,-1.732320069e-06,-1.732320069e-06,0,NA,0.047037234145362,-0.000582522355686,0.006158364102274,0.006158364102274,0,-1.318462824e-06,-1.318462824e-06,0,NA,0.031897066955967,-0.000341035811855,0.040911352916942,0.040911352916942,0,-4.446502752e-06,-4.446502752e-06,0,NA,0.330460649666534,-0.001960948688849,0.002107002558121,0.002107002558121,0,2.80271676e-07,2.80271676e-07,0,NA,0.143722973343968,0.000131090918657,0.00316763902997,0.00316763902997,0,4.09570682e-07,4.09570682e-07,0,NA,0.063197792922507,0.000148436591966,0.052192601236216,0.052192601236216,0,5.001183047e-06,5.001183047e-06,0,NA,0.821407469477703,0.000611042119693,0.05461582007613,0.05461582007613,0,-6.389302539e-06,-6.389302539e-06,0,NA,0.404216913657005,-0.003014277641599,0.050082883918257,0.050082883918257,0,-5.156419296e-06,-5.156419296e-06,0,NA,0.684901910691275,-0.002345332671773,0.021995919207519,0.021995919207519,0,-2.354785865e-06,-2.354785865e-06,0,NA,0.392701762843055,-0.000940107135311,0.016820760748561,0.016820760748561,0,-4.53386134e-06,-4.53386134e-06,0,NA,0.293636615438731,-0.001797667773928,0.037968594501616,0.037968594501616,0,-1.903855273e-06,-1.903855273e-06,0,NA,0.217540089987192,-0.000966046711851,0.005686417239763,0.005686417239763,0,-2.050265414e-06,-2.050265414e-06,0,NA,-0.063064892332346,-0.000754172947068,0.050254310834844,0.050254310834844,0,3.876460842e-06,3.876460842e-06,0,NA,0.641662236419012,0.000637134998315,0.036324457344163,0.036324457344163,0,-5.073269738e-06,-5.073269738e-06,0,NA,0.366239807616019,-0.002019411968515
uuid:03ec0bec-9045-45a4-9bfc-19aa344209de,DEG,2014-10-31,0.003164078159402,0.003164078159402,0,7.33519846e-07,7.33519846e-07,0,NA,0.035202891006171,0.000192995760011,0.004830949132943,0.004830949132943,0,2.318034512e-06,2.318034512e-06,0,NA,0.044408853000085,0.000679873574472,0.004642596492644,0.004642596492644,0,3.398517311e-06,3.398517311e-06,0,NA,0.027936359945513,0.001149933856372,0.047830452996678,0.047830452996678,0,5.062541021e-06,5.062541021e-06,0,NA,0.336909854325544,0.000827155679316,0.008905919217576,0.008905919217576,0,7.26604924e-06,7.26604924e-06,0,NA,0.136063344275868,0.002493428884794,0.00190082145813,0.00190082145813,0,5.473078856e-06,5.473078856e-06,0,NA,0.0563199011969,0.001955449435024,0.033397087281546,0.033397087281546,0,-1.5444720418e-05,-1.5444720418e-05,0,NA,0.8491857746079,-0.006028883958122,0.030532087454716,0.030532087454716,0,-1.4147965383e-05,-1.4147965383e-05,0,NA,0.419251846915612,-0.006003537587065,0.016852226933455,0.068491450168619,0.051639223235164,-7.124468384e-06,-8.0106033683e-05,-7.2981565298e-05,-2.87123287671238,0.706613226096119,-0.006829688540655,0.020508849167159,0.020508849167159,0,-1.3252828601e-05,-1.3252828601e-05,0,NA,0.407812834700431,-0.004799324987358,0.030981575848228,0.030981575848228,0,7.511629687e-06,7.511629687e-06,0,NA,0.296089301268326,0.001905434982404,0.034668212758511,0.034668212758511,0,1.083184403e-06,1.083184403e-06,0,NA,0.226939652390791,-0.000637862617267,0.000875814906261,0.000875814906261,0,-6.318139283e-06,-6.318139283e-06,0,NA,-0.054462552386602,-0.002322336107715,0.032268859433664,0.032268859433664,0,-1.0377082854e-05,-1.0377082854e-05,0,NA,0.653020760375437,-0.004340154956374,0.047232550917096,0.047232550917096,0,7.428585234e-06,7.428585234e-06,0,NA,0.370643607552713,0.001689430969048
uuid:058bd8c7-ea00-4fdb-b4e4-3bba98303b01,DEF,2014-10-28,0.003533310304536,0.004636357938737,0.001103047634201,1.004598078e-06,-1.8668162584e-05,-1.9672760662e-05,-3.80547945205467,0.029809072734109,5.5793678002e-05,0.004395943126985,0.00423028225643,-0.000165660870554,1.365183836e-06,-1.2239534689e-05,-1.3604718525e-05,-3.87123287671216,0.041454787597316,0.000150179892974,0.00482134586714,0.005321852128488,0.000500506261347,9.57262516e-07,-1.296493505e-05,-1.3922197566e-05,-3.87123287671216,0.028149177613772,0.000301010929597,0.041261170780575,0.041261170780575,0,-3.227496507e-06,-3.227496507e-06,0,NA,0.301776086300916,-0.001341724361901,0.013043932778757,0.013043932778757,0,1.66133576e-06,1.66133576e-06,0,NA,0.129142793991372,0.000581754129475,0.005212360376853,0.005212360376853,0,2.108309132e-06,2.108309132e-06,0,NA,0.052874716131359,0.000785795325361,0.037779700664976,0.037779700664976,0,-5.055860676e-06,-5.055860676e-06,0,NA,0.828190207567265,-0.002360602349699,0.023724788277754,0.023724788277754,0,-1.0695364414e-05,-1.0695364414e-05,0,NA,0.407156577854961,-0.004197609079906,0.026706829514891,0.026706829514891,0,-1.2917938732e-05,-1.2917938732e-05,0,NA,0.704165462763273,-0.005074023376215,0.015308627448676,0.015308627448676,0,-8.933842057e-06,-8.933842057e-06,0,NA,0.413063213082607,-0.003420320180958,0.028032945111211,0.028032945111211,0,-9.31700867e-07,-9.31700867e-07,0,NA,0.266568766750636,-0.000402635033195,0.033393474632862,0.033393474632862,0,-2.805240046e-06,-2.805240046e-06,0,NA,0.198384081933273,-0.00110318594234,0.005118175177314,0.003868140556916,-0.001250034620397,-2.08745966e-07,-5.560071788e-06,-5.351325821e-06,-2.81917808219168,-0.052102851030913,-0.001115328509319,0.039764027811815,0.039764027811815,0,-5.528820017e-06,-5.528820017e-06,0,NA,0.647886477356939,-0.002563448206157,0.041820762230857,0.041820762230857,0,-2.489289899e-06,-2.489289899e-06,0,NA,0.333633302624628,-0.001043515147824
